,Beer,Sim_Rank,Sim_Beer
2,113,3,44
3,113,4,85
4,113,5,47
5,113,6,82
6,113,7,59
7,113,8,2
8,113,9,61
9,113,10,43
0,114,1,117
1,114,2,119
2,114,3,120
3,114,4,118
4,114,5,84
5,114,6,70
6,114,7,15
7,114,8,82
8,114,9,87
9,114,10,28
0,115,1,116
1,115,2,63
2,115,3,66
3,115,4,45
4,115,5,16
5,115,6,35
6,115,7,95
7,115,8,20
8,115,9,89
9,115,10,12
0,116,1,95
1,116,2,4
2,116,3,32
3,116,4,115
4,116,5,80
5,116,6,8
6,116,7,30
7,116,8,69
8,116,9,120
9,116,10,91
0,117,1,114
1,117,2,119
2,117,3,120
3,117,4,118
4,117,5,37
5,117,6,107
6,117,7,84
7,117,8,70
8,117,9,103
9,117,10,62
0,118,1,55
1,118,2,91
2,118,3,44
3,118,4,19
4,118,5,59
5,118,6,61
6,118,7,120
7,118,8,119
8,118,9,37
9,118,10,117
0,119,1,117
1,119,2,120
2,119,3,118
3,119,4,114
4,119,5,71
5,119,6,62
6,119,7,18
7,119,8,42
8,119,9,70
9,119,10,102
0,120,1,78
1,120,2,119
2,120,3,118
3,120,4,117
4,120,5,89
5,120,6,91
6,120,7,114
7,120,8,32
8,120,9,116
9,120,10,95
